Syllabus,Question,Year,Marks
art and culture,Discuss the Tandava dance as recorded in the early Indian inscriptions.,2013,5
art and culture,Chola architecture represents a high watermark in the evolution of temple architecture. Discuss.,2013,5
art and culture,"Though not very useful from the point of view of a connected political history of South India, the Sangam literature portrays the social and economic conditions of its time with remarkable vividness. Comment.",2013,10
art and culture,To what extent has the urban planning and culture of the Indus Valley Civilization provided inputs to the present day urbanization? Discuss.,2014,10
art and culture,Gandhara sculpture owed as much to the Romans as to the Greeks. Explain.,2014,10
art and culture,"Taxila university was one of the oldest universities of the world with which were associated a number of renowned learned personalities of different disciplines. Its strategic location caused its fame to flourish, but unlike Nalanda, it is not considered as a university in the modern sense. Discuss.",2014,10
art and culture,Sufis and medieval mystic saints failed to modify either the religious ideas and practices or the outward structure of Hindu / Muslim societies to any appreciable extent. Comment.,2014,10
art and culture,"The ancient civilization in Indian sub-continent differed from those of Egypt, Mesopotamia and Greece in that its culture and traditions have been preserved without a breakdown to the present day. Comment.",2015,12.5
art and culture,Mesolithic rock cut architecture of India not only reflects the cultural life of the times but also a tine aesthetic sense comparable to modem painting. Critically evaluate this comment.,2015,12.5
art and culture,"Early Buddhist Stupa-art, while depicting folk motifs and narratives successfully expounds Buddhist ideals. Elucidate.",2016,12.5
art and culture,"Krishnadeva Raya, the King of Vijayanagar, was not only an accomplished scholar himself but was also a great patron of learning and literature. Discuss.",2016,12.5
art and culture,How do you justify the view that the level of excellence of Gupta numismatic art is not at all noticeable in later times?,2017,10
art and culture,Safeguarding the Indian art heritage is the need of the moment. Discuss.,2018,10
art and culture,Assess the importance of the accounts of the Chinese and Arab travellers in the reconstruction of the history of India.,2018,10
art and culture,The Bhakti movement received a remarkable re-orientation with the advent of Sri Chaitanya Mahaprabhu. Discuss.,2018,15
art and culture,Highlight the Central Asian and Greco -Bactrian elements in Gandhara art. ,2019,10
art and culture,The rock-cut architecture represents one of the most important sources of our knowledge of early Indian art and history. Discuss. ,2020,10
art and culture,Pala period is the most significant phase in the history of Buddhism in India. Enumerate. ,2020,10
art and culture,Indian philosophy and tradition played a significant role in conceiving and shaping the monuments and their art in India. Discuss.,2020,15
art and culture,Persian literary sources of medieval India reflect the spirit of the age. Comment.,2020,15
art and culture,Evaluate the nature of the Bhakti literature and its contribution to Indian culture. ,2021,10
art and culture,How will you explain that medieval Indian temple sculptures represent the social life of those days ? ,2022,10
art and culture,Discuss the main contributions of Gupta period and Chola period to Indian heritage and culture,2022,15
art and culture,"Discuss the significance of the lion and bull figures in Indian mythology, art and architecture",2022,15
art and culture,Explain the role of geographical factors towards the development of Ancient India,2023,10
art and culture,What are the main features of Vedic society and religion? Do you think some of the features are still prevailing in Indian society?,2023,15
art and culture,What were the major technological changes introduced during the Sultanate period? How did those technological changes influence the Indian society?,2023,15
art and culture,Underline the changes in the field of society and economy from the Rig Vedic to the later Vedic period.,2024,10
art and culture,Estimate the contribution of Pallavas of Kanchi for the development of art and literature of South India.,2024,10
art and culture,"""Though the great Cholas are no more yet their name is still remembered with great pride because of their highest achievements in the domain of art and architecture."" Comment.",2024,15
art and culture,Discuss the salient features of the Harappan architecture.,2025,10
art and culture,Examine the main aspects of Akbar’s religious syncretism.,2025,10
art and culture,'The sculptors filled the Chandella artform with resilient vigor and breadth of life.' Elucidate.,2025,10
art and culture,Vijayanagara architecture exemplifies the amalgamation of past traditions with contemporary practices. Elucidate with examples.,2026,15
art and culture,. Analyze the importance of Ashokan inscriptions for reconstructing Mauryan history.,2026,10
modern history,"Defying the barriers of age, gender and religion, the Indian women became the torch bearer during the struggle for freedom in India. Discuss.",2013,10
modern history,Several foreigners made India their homeland and participated in various movements. Analyze their role in the Indian struggle for freedom.,2013,10
modern history,"In many ways, Lord Dalhousie was the founder of modern India. Elaborate.",2013,10
modern history,The third battle of Panipat was fought in 1761. Why were so many empire-shaking battles fought at Panipat?,2014,10
modern history,Examine critically the various facets of economic policies of the British in India from mid-eighteenth century till independence.,2014,10
modern history,In what ways did the naval mutiny prove to be the last nail in the coffin of British colonial aspirations in India?,2014,10
modern history,How different would have been the achievement of Indian independence without Mahatma Gandhi? Discuss.,2015,12.5
modern history,"It would have been difficult for the Constituent Assembly to complete its historic task of drafting the Constitution for Independent India in just three years but for the experience gained with the Government of India Act, 1935. Discuss.",2015,12.5
modern history,Explain how the Uprising of 1857 constitutes an important watershed in the evolution of British policies towards colonial India.,2016,12.5
modern history,Discuss the role of women in the freedom struggle especially during the Gandhian phase.,2016,12.5
modern history,Highlight the differences in the approach of Subhash Chandra Bose and Mahatma Gandhi in the struggle for freedom.,2016,12.5
modern history,Clarify how mid-eighteenth century India was beset with the spectre of a fragmented polity.,2017,10
modern history,Why did the 'Moderates' fail to carry conviction with the nation about their proclaimed ideology and political goals by the end of the nineteenth century?,2017,10
modern history,Examine how the decline of traditional artisanal industry in colonial India crippled the rural economy.,2017,15
modern history,The women's questions arose in modern India as a part of the 19th century social reform movement. What were the major issues and debates concerning women in that period?,2017,15
modern history,Highlight the importance of the new objectives that got added to the vision of Indian independence since twenties of the last century.,2017,15
modern history,Throw light on the significance of the thoughts of Mahatma Gandhi in the present times.,2018,10
modern history,The 1857 Uprising was the culmination the recurrent big and small local rebellions that had occurred in the preceding hundred years of British rule. Elucidate.,2019,10
modern history,Examine the linkages between 19th centuries ‘Indian Renaissance’ and the emergence of national identity.,2019,10
modern history,Many voices had strengthened and enriched the nationalist movement during the Gandhian phase. Elaborate. ,2019,15
modern history,Assess the role of British imperial power in complicating the process of transfer of power during the 1940s. ,2019,15
modern history,Evaluate the policies of Lord Curzon and their long term implications on the national movement. ,2020,10
modern history,"Since the decade of the 1920s, the national movement acquired various ideological strands and thereby expanded its social base. Discuss. ",2020,15
modern history,Trace the rise and growth of socio-religious reform movements with special reference to Young Bengal and Brahmo Samaj. ,2021,10
modern history,To what extent did the role of the Moderates prepare a base for the wider freedom movement? Comment. ,2021,15
modern history,Bring out the constructive programmes of Mahatma Gandhi during Non-Cooperation Movement and Civil Disobedience Movement. ,2021,15
modern history, Why did the armies of the British East India Company - mostly comprising of Indian soldiers - win consistently against the more numerous and better-equipped armies of the then Indian rulers? Give reasons,2022,10
modern history, Why was there a sudden spurt in famines in colonial India since the mid-eighteenth century? Give reasons,2022,10
